Price,Close,High,Low,Open,Volume
Ticker,LQD,LQD,LQD,LQD,LQD
Date,,,,,
2002-07-30,38.37630844116211,38.614810643580846,38.330878212378046,38.34980819644892,21200
2002-07-31,38.61096954345703,38.70940012266576,38.44439804976452,38.53904205984439,272000
2002-08-01,38.98957824707031,39.03122187745664,38.72836252446597,38.76621958255126,111700
2002-08-02,39.069087982177734,39.10694793733806,38.785155648329614,38.95551678162392,29200
2002-08-05,38.974422454833984,39.23942755379331,38.807850874556024,39.23942755379331,166500
2002-08-06,38.84193801879883,38.8608679941011,38.65264981901101,38.80408095650301,430100
2002-08-07,38.95170211791992,39.031202767467384,38.69048363490186,38.87977172095971,33100
2002-08-08,38.83815002441406,38.993367728946545,38.7397222437096,38.993367728946545,83600
2002-08-09,38.993350982666016,39.06149481836219,38.845706486708856,38.91763689336243,273800
2002-08-12,39.04637145996094,39.110728757725454,38.97444101639539,39.03122805666773,69100
2002-08-13,39.36812973022461,39.36812973022461,39.05012717726453,39.17505798948738,36400
2002-08-14,39.38330841064453,39.63695394396921,39.371951579049274,39.37952183734306,76400
2002-08-15,39.26591491699219,39.466559794827255,39.18262770997238,39.466559794827255,132000
2002-08-16,39.07664489746094,39.52336503269574,39.069071754250864,39.52336503269574,57400
2002-08-19,39.29621887207031,39.387076370203665,39.220501883369366,39.23943185262155,18700
2002-08-20,39.71645736694336,39.731597883464296,39.53852597057635,39.67481372573793,262800
2002-08-21,39.76944351196289,39.80730056624476,39.636939489514184,39.7505135406679,22300
2002-08-22,39.712669372558594,39.84517054969387,39.66345258654475,39.84517054969387,161800
2002-08-23,39.826236724853516,39.864096676071036,39.69373556051848,39.826236724853516,47500
2002-08-26,39.86789321899414,39.90196660841772,39.75053541963337,39.75053541963337,28900
2002-08-27,39.76944351196289,39.845157620526635,39.65586946080917,39.82622764923165,202400
2002-08-28,39.84514236450195,40.01171680553341,39.8072853247149,39.90192936833604,307900
2002-08-29,39.99279022216797,40.091220844580484,39.86407569835004,40.053363801593285,42900
2002-08-30,40.01554489135742,40.129119025054294,39.864116564175184,40.129119025054294,36500
2002-09-03,40.205413818359375,40.3576355565862,40.205413818359375,40.30055204182762,49300
2002-09-04,40.35383605957031,40.39569711726792,40.24347535322104,40.37666830799132,1690000
2002-09-05,40.46794891357422,40.6049480372367,40.270062903497845,40.566893370304896,138300
2002-09-06,40.19399642944336,40.46418862717198,40.03416201247859,40.46418862717198,224800
2002-09-09,40.22060775756836,40.33857814191872,40.05316367393345,40.05316367393345,53600
2002-09-10,40.39186096191406,40.47177667579126,40.05316931117364,40.05697565089727,176800
