Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
1993-07-30,25.17801284790039,25.318378076320737,25.1429215407953,25.318378076320737,75300
1993-08-02,25.248214721679688,25.33594305636238,25.213123387806608,25.213123387806608,41300
1993-08-03,25.2657470703125,25.371021016438803,25.178018781873917,25.300838385687936,81600
1993-08-04,25.2657470703125,25.31838404337565,25.195564439561632,25.2657470703125,434000
1993-08-05,25.213106155395508,25.26574312022932,25.1780148455063,25.26574312022932,36800
1993-08-06,25.248214721679688,25.300851722489305,25.213123387806608,25.283306055552764,402300
1993-08-09,25.388568878173828,25.458751515017433,25.26574926369752,25.318386241330224,828200
1993-08-10,25.37101936340332,25.38856501994786,25.33592805031424,25.37101936340332,604900
1993-08-11,25.37101936340332,25.441201989581476,25.35347370685878,25.35347370685878,542200
1993-08-12,25.300827026367188,25.44119222484911,25.21309877731598,25.44119222484911,303700
1993-08-13,25.3359375,25.35348316308864,25.318391836911356,25.318391836911356,103500
1993-08-16,25.476289749145508,25.54647236553434,25.35347017046505,25.35347017046505,241800
1993-08-17,25.56402015686035,25.56402015686035,25.458746223475888,25.458746223475888,369300
1993-08-18,25.704395294189453,25.757032281140013,25.634212644922044,25.651758307238897,414300
1993-08-19,25.704395294189453,25.72194095650631,25.66930396955575,25.72194095650631,28500
1993-08-20,25.721940994262695,25.721940994262695,25.634212682549656,25.651758344892265,80700
1993-08-23,25.6693058013916,25.686851464960565,25.616668810684715,25.616668810684715,15600
1993-08-24,25.950029373168945,25.950029373168945,25.66929883228274,25.66929883228274,273400
1993-08-25,25.967565536499023,26.07283945083618,25.914928579330446,25.950019884109498,242300
1993-08-26,25.985111236572266,26.12547645594605,25.879837322041926,25.985111236572266,120000
1993-08-27,25.967565536499023,25.967565536499023,25.914928579330446,25.914928579330446,25700
1993-08-30,26.072847366333008,26.107938681765486,25.985119077751804,25.985119077751804,183500
1993-08-31,26.143024444580078,26.14302444458008,26.020204866652524,26.055296174631824,66500
1993-09-01,26.10793113708496,26.16056809502263,26.05529417914729,26.05529417914729,136500
1993-09-02,26.020204544067383,26.16056977424441,26.00265889029525,26.125478466700155,472400
1993-09-03,26.037763595581055,26.072854921181566,25.967580944380025,26.00267226998054,630500
1993-09-07,25.862295150756836,26.07284300815784,25.827203841190002,26.037751698591006,196400
1993-09-08,25.774568557739258,25.86229683737758,25.599111998462615,25.86229683737758,269900
1993-09-09,25.827213287353516,25.844758948554166,25.669302336547688,25.669302336547688,239200
1993-09-10,26.0553035736084,26.072849232580523,25.862301324915002,25.897392642859256,106500
1993-09-13,26.072847366333008,26.143029997197967,26.072847366333008,26.143029997197967,66900
1993-09-14,25.967565536499023,26.00265684127808,25.87983727455139,26.00265684127808,184500
1993-09-15,26.037763595581055,26.05530925838131,25.7745786535772,25.862306967578483,101000
1993-09-16,25.932476043701172,26.02020431177865,25.91493039008568,26.002658658163153,54300
1993-09-17,25.882204055786133,25.93516900269429,25.846894091180694,25.91751402039157,200900
1993-09-20,25.67034149169922,25.97047615838346,25.670341491699215,25.917511217203884,57800
1993-09-21,25.582059860229492,25.74095464197005,25.317235223995233,25.70564469047215,318200
1993-09-22,25.79392433166504,25.82923428968238,25.635029520587022,25.670339478604358,439700
1993-09-23,25.93515968322754,25.952814659186167,25.829229827475757,25.86453977939302,88500
1993-09-24,25.86455726623535,25.917522229920472,25.829247290445267,25.899867242025433,53500
1993-09-27,26.147022247314453,26.147022247314453,26.058747357890706,26.058747357890706,274600
1993-09-28,26.09406089782715,26.16468081906619,26.076405917517384,26.16468081906619,158300
1993-09-29,26.005779266357422,26.164674048025592,25.970469314875604,26.09405414506196,221000
1993-09-30,25.952829360961914,26.05875927672094,25.8998644030824,26.005794318841428,99300
1993-10-01,26.076391220092773,26.11170116081057,25.88218654614489,25.91749648686269,22700
1993-10-04,26.111698150634766,26.111698150634762,26.041078277340283,26.111698150634762,1038500
1993-10-05,26.076391220092773,26.164666071887265,25.988116368298282,26.164666071887265,436500
1993-10-06,26.058759689331055,26.19999957924613,26.058759689331055,26.094069661809822,209200
1993-10-07,25.988130569458008,26.09406044949656,25.970475589451585,26.09406044949656,59400
1993-10-08,26.0234375,26.07640243385346,25.829232742537314,26.058747455902306,54400
