Price,Close,High,Low,Open,Volume
Ticker,AGG,AGG,AGG,AGG,AGG
Date,,,,,
2004-02-11,52.4443244934082,52.53086923757847,52.15924689065734,52.26615099168892,26200
2004-02-12,52.44932174682617,52.53586245113583,52.352597498548285,52.53586245113583,61400
2004-02-13,52.68353271484375,52.68353271484375,52.434090072859284,52.55117761397109,82500
2004-02-17,52.556270599365234,52.586817373508325,52.434095154454965,52.5766338208315,78300
2004-02-18,52.51554870605469,52.68863026488109,52.48500193152436,52.66317526675372,38800
2004-02-19,52.5715446472168,52.58681997698828,52.38319163613164,52.47482419532275,21500
2004-02-20,52.408687591552734,52.55631816788755,52.3526896528088,52.55123027083147,40700
2004-02-23,52.55122756958008,52.561407247059854,52.337415503597825,52.47486639486432,24300
2004-02-24,52.505401611328125,52.632668922560526,52.495221935341185,52.60212601070959,40800
2004-02-25,52.627567291259766,52.67338553434956,52.53593468896955,52.612295838192956,78800
2004-02-26,52.541015625,52.60719320259547,52.49520127525436,52.602105308549454,33700
2004-02-27,52.68353271484375,52.6988041584916,52.576628725421834,52.68353271484375,34100
2004-03-01,52.70698547363281,52.752908947655826,52.50797596658734,52.73760112298149,154200
2004-03-02,52.523338317871094,52.67642450981854,52.43148738133134,52.610085343174305,28500
2004-03-03,52.46718978881836,52.599864185507634,52.405954553467396,52.599864185507634,79900
2004-03-04,52.594749450683594,52.610057283085034,52.47228289833051,52.59985335919791,116500
2004-03-05,52.98258590698242,53.06422901011829,52.55394696280414,53.018305494568686,68900
2004-03-08,53.161190032958984,53.171393962110066,53.00300382568425,53.145882192660586,44100
2004-03-09,53.237735748291016,53.28876318284538,53.094857374281304,53.16119264988761,46400
2004-03-10,53.17646789550781,53.25301094699284,53.1305444005016,53.22239528365536,38800
2004-03-11,53.2938346862793,53.34486208980392,53.02338594377162,53.34486208980392,56000
2004-03-12,53.13051223754883,53.23256698232171,53.07438095998206,53.222363065100005,42300
2004-03-15,53.14075469970703,53.207089942610885,53.06931554792079,53.145858608589414,61300
2004-03-16,53.26835632324219,53.30917983189292,52.9723917252405,53.110170093650694,53200
2004-03-17,53.2427864074707,53.365256808636644,53.18665900669477,53.365256808636644,28300
2004-03-18,53.191810607910156,53.30407330461938,53.07954791120095,53.232634114557854,27000
2004-03-19,53.13566207885742,53.222412975720005,53.013195491656134,53.19179340906272,132500
2004-03-22,53.27344512939453,53.28364905709185,53.13056678277428,53.19179813524413,23300
2004-03-23,53.278526306152344,53.3040380610814,53.156055867184214,53.247906749839665,45500
2004-03-24,53.309165954589844,53.33467772099735,53.19179937105758,53.32447379306296,31300
2004-03-25,53.278526306152344,53.288730229495705,53.156055867184214,53.247906749839665,39000
2004-03-26,53.0948486328125,53.24793091127233,52.951966389183035,53.222419144767215,102300
2004-03-29,52.99787139892578,53.00297530732691,52.79375788743605,52.957047917999546,210100
2004-03-30,52.78866195678711,53.04380291142242,52.78866195678712,53.03359898621949,243200
2004-03-31,53.04380798339844,53.11014712955775,52.91623749388267,52.96726880420288,105100
2004-04-01,53.06937026977539,53.08983319093371,52.88009507914142,53.08983319093371,128500
2004-04-02,52.58335494995117,52.6754360848267,52.38896317761425,52.38896317761425,165600
2004-04-05,52.261131286621094,52.35832532987076,52.20485920231102,52.20485920231102,77500
2004-04-06,52.40946960449219,52.435049238453104,52.250886802066205,52.40946960449219,54800
2004-04-07,52.28156661987305,52.52200107061042,52.28156661987305,52.42480707141049,207600
2004-04-08,52.312278747558594,52.48109107204228,52.30716203987593,52.332741675384824,18700
2004-04-12,52.29694747924805,52.383912020194614,52.22021245368704,52.358332377372435,88400
2004-04-13,52.204872131347656,52.23044787415586,52.03093912688444,52.1690629690914,110800
2004-04-14,52.051387786865234,52.05650449518592,51.81095323355695,51.92349739918252,30400
2004-04-15,51.97463607788086,52.06160057687235,51.88255487221232,51.91325120937093,40600
2004-04-16,52.117862701416016,52.128096112818326,51.97462616500681,52.10251648721544,49000
2004-04-19,52.051387786865234,52.17927817454795,51.98488619031599,52.15369853584945,115300
2004-04-20,51.882568359375,52.036038376352494,51.826296280010226,52.0002292261117,40000
2004-04-21,51.7597541809082,51.92857028688884,51.67278972736724,51.693252640477155,72700
2004-04-22,51.949066162109375,52.02068445198569,51.83652202004542,51.97464189254858,41100
2004-04-23,51.84675598144531,51.92349098515697,51.72398231724931,51.897911349618276,90200
2004-04-26,51.83134841918945,51.96946814008302,51.68811199666284,51.84669462118876,109900
2004-04-27,51.95923614501953,51.96946564489466,51.78530732684507,51.89784743706993,54200
